CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0026075150,0257,07/30/2025 10:40:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075120,0240,07/30/2025 10:40:00 AM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2636700098,0240,07/30/2025 10:40:00 AM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055100,0240,07/30/2025 10:40:00 AM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:42:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:44:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:46:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:48:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026115090,0240,07/30/2025 10:50:00 AM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:50:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0240,07/30/2025 10:50:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,PRECIPITACIÓN,mm
2633500119,0240,07/30/2025 10:50:00 AM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026075120,0240,07/30/2025 10:50:00 AM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2633700150,0240,07/30/2025 10:50:00 AM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026055100,0240,07/30/2025 10:50:00 AM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2636700098,0240,07/30/2025 10:50:00 AM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026085160,0240,07/30/2025 10:50:00 AM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026085170,0240,07/30/2025 10:50:00 AM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
2629700151,0240,07/30/2025 10:50:00 AM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026105250,0240,07/30/2025 10:50:00 AM,0,ZARAGOZA,VALLE DEL CAUCA,CARTAGO,CAUCA,4.689777778,-75.92519444,PRECIPITACIÓN,mm
5311500121,0240,07/30/2025 10:50:00 AM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:52:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:54:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:56:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 10:58:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0240,07/30/2025 11:00:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,PRECIPITACIÓN,mm
2633500119,0240,07/30/2025 11:00:00 AM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026075120,0240,07/30/2025 11:00:00 AM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2636700098,0240,07/30/2025 11:00:00 AM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026085160,0240,07/30/2025 11:00:00 AM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026055100,0240,07/30/2025 11:00:00 AM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2629700151,0240,07/30/2025 11:00:00 AM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026115090,0240,07/30/2025 11:00:00 AM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026085170,0240,07/30/2025 11:00:00 AM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026055120,0240,07/30/2025 11:00:00 AM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
2633700150,0240,07/30/2025 11:00:00 AM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026105250,0240,07/30/2025 11:00:00 AM,0,ZARAGOZA,VALLE DEL CAUCA,CARTAGO,CAUCA,4.689777778,-75.92519444,PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:00:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
5311500121,0240,07/30/2025 11:00:00 AM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:02:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:04:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:06:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:08:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026115090,0240,07/30/2025 11:10:00 AM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026075150,0240,07/30/2025 11:10:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,PRECIPITACIÓN,mm
0026085170,0240,07/30/2025 11:10:00 AM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:10:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
2633500119,0240,07/30/2025 11:10:00 AM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
2633700150,0240,07/30/2025 11:10:00 AM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
2636700098,0240,07/30/2025 11:10:00 AM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055120,0240,07/30/2025 11:10:00 AM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
5311500121,0240,07/30/2025 11:10:00 AM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026085160,0240,07/30/2025 11:10:00 AM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026055100,0240,07/30/2025 11:10:00 AM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026105250,0240,07/30/2025 11:10:00 AM,0,ZARAGOZA,VALLE DEL CAUCA,CARTAGO,CAUCA,4.689777778,-75.92519444,PRECIPITACIÓN,mm
2629700151,0240,07/30/2025 11:10:00 AM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026075120,0240,07/30/2025 11:10:00 AM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:16:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
0026075150,0257,07/30/2025 11:18:00 AM,0,AEROPUERTO A. BONILLA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.532991667,-76.3825,GPRS - PRECIPITACIÓN,mm
2636700098,0240,07/30/2025 11:20:00 AM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055120,0240,07/30/2025 11:20:00 AM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026055100,0240,07/30/2025 11:20:00 AM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026115090,0240,07/30/2025 11:20:00 AM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026085170,0240,07/30/2025 11:20:00 AM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
2633500119,0240,07/30/2025 11:20:00 AM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
2633700150,0240,07/30/2025 11:20:00 AM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
5311500121,0240,07/30/2025 11:20:00 AM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
